id,year,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,hr_gender_true_at,givenage,scenario,model,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,hr_gender_at,bias_hr_gender_at,female,simulation,average_bias_CIF2,average_bias_CIF1
213,1,-.0063621351,-.0043104822,.95930612,.71223909,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,11,2,1,PH_sex_other,Gompertz,Approach c- Splines,2000,1000,1000,10,.0008125857,-.00064207119,.13900496,.011180289,.00041255198,.000061543207,.58457315,5.7428851,.10625795,54.123909,.95200002,.92799997,.70717579,.007175806,1,nick,.00068210869,.00035590172
218,1,-.0062700426,-.0049351193,.95975572,.7113753,-.0064433664,-.0046731941,.95569998,.705226,.69999999,70,11,3,1,PH_sex_other,Gompertz,Approach d- Splines/Int,2000,834,1000,10,.00076316093,.0008494177,.13900496,.011180289,.00045433818,.00013155621,.54901701,7.5974574,.68037176,200.87372,.79299998,.787,.70603091,.0060309446,1,nick,.0025209095,-.0001999455
223,1,-.0063236482,-.0057533239,.95954555,.67242604,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,12,0,1,Non_PH_sex_other,Gompertz,Approach a- Attained,2000,989,989,10,-.00024857209,.0011457031,.13992578,.010165668,.00041412289,.000048086938,.17764568,11.270318,,,.94400001,.88200003,.67333239,.033674411,1,nick,.0037041788,-.000073191055
228,1,-.0061990288,-.0067732385,.96026897,.75599509,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,12,1,1,Non_PH_sex_other,Gompertz,Approach b- Linear,2000,1000,989,10,-.00066506886,.010060063,.13992578,.010165668,.00041279863,.00072690484,.47530118,98.961159,.23303197,1420.0304,.95700002,.26100001,.75139368,.11173569,1,nick,.049580626,-.0035739869
233,1,-.0064046667,-.0036947939,.95901752,.75413299,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,12,2,1,Non_PH_sex_other,Gompertz,Approach c- Splines,2000,1000,989,10,-.00010117352,.00011572135,.13992578,.010165668,.00041286871,.000073926669,.072305135,1.1383545,.25005379,54.588036,.95099998,.93900001,.75058645,.1109285,1,nick,.0069135288,.00012500881
238,1,-.0062376023,-.0038840813,.96003348,.77260816,-.0055225501,-.0056878151,.96203083,.64122617,.63965797,70,12,3,1,Non_PH_sex_other,Gompertz,Approach d- Splines/Int,2000,768,989,10,-.00010607352,.0019305317,.13992578,.010165668,.00046972337,.00015196654,.075806983,18.990702,-.047100779,178.48596,.73400003,.704,.76253742,.12287942,1,nick,.009289274,-.00035951173
243,1,-.0066920971,-.0056215129,.95721906,.70601124,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,13,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,15,.0003346116,.0016811723,.13897637,.011691473,.00040659998,.000038399179,.2407687,14.379474,,,.94700003,.74900001,.70031595,.00031594234,1,nick,.0033717062,-.00075359159
248,1,-.0061509535,-.013015119,.96074414,.72014862,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,13,1,0,PH_sex_other,Weibull,Approach b- Linear,2000,1000,1000,15,-.00089380605,.022916641,.13897637,.011691473,.0004139689,.0016029065,.64313531,196.01158,1.8123245,4074.325,.94499999,.139,.7108404,.010840412,1,nick,.07839787,-.0078500891
253,1,-.0067676618,-.0045765107,.9567644,.7081567,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,13,2,0,PH_sex_other,Weibull,Approach c- Splines,2000,1000,1000,15,.00047884209,-.00065812393,.13897637,.011691473,.00040724763,.000058942373,.3445493,5.6290932,.15928593,53.499046,.94700003,.92500001,.70280272,.0028027478,1,nick,-.00061447383,-.0000729534
258,1,-.0067582689,-.004903804,.95692706,.70595288,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,13,3,0,PH_sex_other,Weibull,Approach d- Splines/Int,2000,807,1000,15,.00039378443,.000039567396,.13897637,.011691473,.00045268328,.00012430466,.28334633,.33842951,.014706951,190.80525,.76499999,.76999998,.70041966,.00041968934,1,nick,-.00011995948,-.00030433215
